,Date,MaximumTemp,MinimumTemp,AvgTemp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1,2018-11-06,60,51,55.5,5.9,9,0,0.92,0,0
2,2018-06-19,90,70,80,6.3,0,15,0.01,0,0
3,2018-12-04,43,29,36,-4,29,0,0,0,0
4,2011-04-26,84,68,76,19,0,11,0,0,0
5,2012-04-03,71,32,51.5,2,13,0,0,0,0
6,2012-05-15,81,65,73,10.4,0,8,0.39,0,0
7,2012-11-06,45,28,36.5,-13.1,28,0,0,0,0
8,2013-04-23,62,46,54,-2.1,11,0,0,0,0
9,2014-04-01,62,38,50,1.2,15,0,0,0,0
10,2014-07-15,88,71,79.5,2.2,0,15,0.84,0,0
11,2014-11-04,69,38,53.5,3.3,11,0,0,0,0
12,2015-04-28,70,46,58,0.4,7,0,0,0,0
13,2016-06-14,81,59,70,-2.2,0,5,0,0,0
14,2016-11-08,71,30,50.5,1.5,14,0,0,0,0